     a                  b                  c                   d               e                f
    -0.038111         -0.071452         -0.022822          7.469512         15.884147         -30.091465
    -0.018184         -0.063607         -0.02275          6.097561         16.097561         -28.506098
    -0.026462         -0.083503         -0.030309          11.310976         18.04878         -26.097561
    -0.025662         -0.052154         -0.039677          15.853659         18.871952         -23.963415
    -0.022873         0.01355         -0.044242          15.487805         18.993902         -21.219513
    0.000061         0.012208         -0.056682          11.646341         17.865854         -22.37805
    0.03833         -0.03164         -0.071322          8.140244         15.060976         -23.140244
    0.093555         -0.027851         -0.027761          2.012195         8.75         -26.646341
    0.134609         -0.0465         -0.02885          -10.27439         2.347561         -38.871952
    0.13132         -0.102629         -0.01722          -8.871951         1.341463         -39.298782
    0.177127         -0.088549         0.003021          -0.27439         -1.402439         -40.945122
    0.223342         -0.093886         0.028002          -2.134146         -3.75         -40.670734
    0.170666         -0.041515         -0.003184          -9.756098         -8.109756         -8.597561
    0.08829         -0.014853         0.006242          -3.780488         -12.865854         10.060976
    0.050515         0.022688         0.034486          6.402439         -14.237805         17.957317
    0.03299         0.076549         0.037354          8.719512         -15.213415         29.512196
    0.005298         0.086239         0.025586          8.20122         -15.304878         37.5
    -0.015097         0.056882         0.049375          6.859756         -17.5         40.243904
    -0.016179         0.018552         0.023094          -0.152439         -19.115854         38.871952
    0.002682         0.029881         0.071796          -3.75         -21.189024         35.42683
    -0.010355         0.038163         0.080483          -5.884147         -16.981709         22.286587
    -0.000276         0.017835         0.056574          -6.463415         -14.420732         14.847561
    0.0031         0.016221         0.037642          -7.621952         -12.835366         16.097561
    -0.019005         0.033875         0.008629          -8.445122         -10.457317         18.323172
    -0.033368         0.048975         -0.011847          -9.207317         -9.02439         15.426829
    -0.053257         0.069649         -0.03604          -12.195122         -11.189025         13.04878
    -0.093973         0.102594         0.006715          -10.121951         -10.579268         9.420732
    -0.117561         0.098677         0.045802          -1.280488         -6.128049         0.70122
    -0.124322         0.032457         0.021602          3.932927         -1.890244         -8.20122
    -0.143794         0.031239         0.026266          5.853659         2.408537         -11.890244
    -0.145308         0.027921         -0.025081          6.158537         7.682927         -17.408537
    -0.104919         -0.018093         -0.084908          7.865854         11.341464         -23.445122
    -0.074755         -0.006467         -0.049763          19.664635         14.786586         -26.219513
    -0.030117         -0.00322         0.025424          32.987804         20.365854         -29.481709
    0.021415         0.033361         0.071121          41.128048         26.402439         -30.914635
    0.037053         -0.043428         0.074279          38.689026         27.225611         -29.664635
    0.111283         -0.138063         0.020752          14.146341         23.75         -30.640245
    0.081019         -0.112794         -0.078907          -9.512196         23.109756         -20.640244
    0.03669         -0.090626         -0.049844          -12.652439         23.140244         -16.158537
    0.026813         -0.131485         -0.017414          -18.963415         22.957317         -13.871951
    -0.001792         -0.074524         -0.049674          -22.5         23.292683         -6.52439
    -0.032097         -0.008057         -0.098528          -12.439025         22.286587         -1.341463
    -0.046772         0.030664         -0.093471          3.75         19.359756         1.036585
    -0.048941         0.072188         -0.075753          11.310976         13.993903         2.682927
    -0.045207         0.102477         -0.035603          10.182927         7.286585         2.439024
    -0.00433         0.095067         -0.01813          4.603659         1.158537         -1.981707
    0.029544         0.051249         -0.038528          1.585366         -5.335366         -5.609756
    0.077346         -0.011344         -0.044103          -0.152439         -12.256098         -8.140244
    0.12926         -0.040911         0.06667          -5.579268         -17.225611         -5.335366
    0.156142         -0.160268         0.257828          -13.445123         -11.95122         -2.682927
    0.133117         -0.122941         0.088685          -5.792683         -5.884147         4.756098
    0.012548         0.026061         0.059034          3.567073         -5.396342         16.402439
    0.038945         0.0062         -0.016445          -8.323171         -7.103659         13.506098
    0.027445         0.045195         -0.036789          -18.04878         -11.310976         17.804878
    -0.001091         0.091625         -0.007361          -14.817074         -13.140244         16.707317
    -0.00517         0.024081         0.014619          -10         -14.847561         12.012196
    -0.018784         0.010671         0.052516          -5.97561         -14.420732         11.006098
    -0.03573         0.110295         0.110372          1.432927         -9.847561         9.634147
    -0.046944         0.070462         0.070524          6.219512         -2.652439         2.987805
    -0.044782         0.004612         -0.005495          6.768293         1.615854         -2.378049
    -0.090708         0.061111         -0.029396          6.128049         4.237805         -3.414634
    -0.117684         0.114514         -0.023712          3.689024         7.560976         -9.390244
    -0.087116         0.043369         -0.06936          3.140244         10.609756         -18.62805
    -0.073989         -0.019992         -0.086738          6.463415         10.97561         -22.621952
    -0.079699         0.003928         -0.037555          11.280488         10.884147         -24.146341
    -0.07665         0.008807         0.007456          11.859756         12.347561         -26.95122
    -0.038469         -0.095103         -0.020402          5.182927         13.871951         -29.87805
    -0.024134         -0.110458         -0.037611          -0.579268         14.756098         -25.853659
    -0.018721         -0.070983         -0.050792          0.365854         16.158537         -21.95122
    -0.01361         -0.079638         -0.090829          7.317073         17.103659         -20.030489
    0.012745         -0.087539         -0.076765          13.170732         15.914635         -18.018293
    0.036563         -0.011632         -0.036998          13.231708         11.615854         -11.219513
    0.078079         -0.000126         0.005363          5.670732         5.335366         -9.420732
    0.123596         -0.053812         -0.016608          -5.914634         -1.371951         -8.140244
    0.137744         -0.0493         0.004292          -5.914634         -5.97561         -4.542683
    0.168203         -0.004088         0.068082          1.128049         -13.109756         -2.865854
    0.134172         0.015089         0.124778          7.134147         -16.371952         -1.067073
    0.107923         0.037071         0.189275          6.707317         -13.323171         2.682927
    0.076768         0.072821         0.170952          -6.920732         -8.079268         11.79878
    0.058094         0.122319         0.121332          -17.530489         0.670732         12.621951
    0.022257         0.118949         0.004097          -23.506098         10.27439         11.189025
    -0.027117         0.046136         -0.074457          -26.646341         17.37805         8.04878
    -0.105092         0.020307         -0.061519          -25.853659         23.719513         2.042683
    -0.135441         0.050816         -0.011129          -23.810976         29.237806         -8.902439
    -0.102298         -0.010324         -0.064958          -22.164635         31.768293         -22.835367
    -0.100198         -0.052986         -0.143373          -13.262196         30.762196         -28.475611
    -0.118049         -0.067388         -0.169581          -2.195122         24.908537         -27.92683
    -0.103619         -0.064458         -0.127852          4.664634         15         -26.615854
    -0.04227         -0.104886         -0.077477          5.182927         4.085366         -24.725611
    0.027122         -0.142112         -0.061982          3.170732         -6.280488         -19.939024
    0.031268         -0.103338         -0.05564          1.036585         -14.939025         -11.341464
    0.037319         -0.045952         -0.034942          3.567073         -21.219513         -5.518293
    0.065207         0.006012         -0.011157          9.45122         -24.481709         -3.658537
    0.103923         0.035669         0.256114          11.432927         -24.207317         0.27439
    0.104818         -0.054668         0.316414          4.359756         -5.213415         3.567073
    0.045183         0.116617         0.11485          2.469512         7.347561         4.512195
    0.013295         0.044856         -0.026674          1.189024         11.128049         -1.676829
    0.060636         0.041354         -0.069582          -4.939024         9.786586         -2.530488
    0.035423         0.062966         -0.045119          -6.615854         7.5         0.640244
    0.044158         -0.006463         -0.013829          -4.634147         4.054878         -2.682927
    0.007788         -0.054389         -0.011845          -4.542683         0.182927         1.768293
    -0.010957         -0.077105         -0.038577          -5.060976         -3.719512         4.268293
    -0.020289         -0.033169         0.006248          -2.530488         -6.707317         7.256098
    -0.036739         0.063895         0.046404          0.091463         -7.134147         7.682927
    -0.058493         0.063811         0.057827          0.121951         -4.847561         4.573171
    -0.072576         0.062182         0.034152          0.396341         -1.219512         1.463415
    -0.101225         0.082558         0.002126          2.347561         2.957317         -1.981707
    -0.136644         0.07757         0.000334          4.939024         7.22561         -7.987805
    -0.142909         0.044868         -0.058131          5.457317         10.884147         -13.993903
    -0.113741         0.02984         -0.08088          1.097561         11.402439         -17.317074
    -0.097048         0.023481         -0.085407          0.97561         12.378049         -19.542683
    -0.068849         -0.028285         -0.066177          3.567073         12.530488         -22.134148
    -0.028126         -0.05505         -0.023254          2.652439         12.987805         -21.829269
    0.011093         -0.093845         -0.036572          -1.067073         13.841464         -19.634148
    0.033874         -0.087771         -0.038242          -1.128049         13.292684         -15.304878
    0.042724         -0.046975         -0.016336          3.993902         13.262196         -12.957317
    0.084961         -0.039728         0.017986          9.02439         12.347561         -13.20122
    0.107226         0.062553         0.090756          19.329269         14.29878         -12.286586
    0.152383         -0.025934         0.094284          26.768293         15.121952         -15.213415
    0.196711         -0.080122         0.05531          19.969513         10.182927         -11.554878
    0.149361         -0.07777         0.027256          3.932927         4.512195         0.152439
    0.118317         -0.039364         0.017703          -8.47561         0.914634         6.310976
    0.065552         -0.008444         -0.01904          -8.140244         -0.487805         10.243902
    0.022754         0.028987         -0.0291          -2.957317         -2.012195         10.487805
    0.008047         -0.027592         -0.037147          -4.115854         -4.512195         10.792684
    -0.001766         -0.020316         -0.04046          -13.079268         -6.981708         14.329268
    -0.04985         0.005036         -0.016938          -20.762196         -7.713415         17.835367
    -0.068591         0.021607         -0.005738          -19.786587         -6.310976         15.670732
    -0.07792         0.090919         0.021191          -9.512196         -3.993902         13.231708
    -0.09007         0.157305         0.036093          -1.402439         -1.646342         8.780488
    -0.081236         0.119008         -0.00218          -0.762195         -0.670732         0.97561
    -0.068895         0.050675         0.023451          -2.256098         -1.676829         -4.756098
    -0.051991         0.034486         0.152159          -6.310976         1.920732         -7.012195
    -0.047257         -0.001904         0.099657          -5.914634         10.060976         -10.213415
    -0.063196         0.012344         0.014882          2.286585         16.067074         -13.353659
    -0.066768         0.021985         -0.014852          7.195122         19.420732         -15.792684
    -0.05107         0.042002         -0.039421          7.865854         21.463415         -18.536587
    -0.038513         0.028523         -0.049505          8.262196         22.012196         -22.256098
    -0.035693         -0.020931         -0.050737          6.79878         20.182928         -23.841463
    -0.039297         -0.027097         -0.043519          4.359756         17.743902         -23.079269
    -0.038859         -0.083787         -0.033058          2.652439         16.432928         -23.323172
    -0.026204         -0.113514         -0.03172          4.054878         16.981709         -21.67683
    -0.002409         -0.096475         -0.044907          8.079268         17.164635         -17.713415
    -0.002318         -0.053938         -0.07616          14.02439         16.615854         -13.231708
    0.009083         -0.046471         -0.063076          19.390244         14.939025         -9.908537
    0.018595         0.020441         -0.03386          25.42683         13.079268         -8.04878
    0.018001         0.009321         -0.023181          25.640245         9.756098         -7.073171
    0.052096         -0.01266         -0.013076          13.993903         3.689024         -2.926829
    0.091872         -0.022433         0.015515          0.335366         -0.853659         2.804878
    0.085216         -0.018337         0.019053          -1.829268         -2.804878         7.987805
    0.098447         -0.049435         0.038289          1.128049         -6.280488         11.432927
    0.103562         -0.013181         0.063053          3.75         -8.841464         15.853659
    0.091639         -0.006248         0.032279          3.841464         -13.445123         20.70122
    0.07878         0.01258         0.03012          2.042683         -16.524391         24.29878
    0.067711         0.042486         0.038939          -2.926829         -18.475611         26.768293
    0.059247         0.043559         0.037597          -7.652439         -19.573172         26.219513
    0.040171         0.074105         0.058398          -11.310976         -19.756098         25.762196
    0.019246         0.069636         0.070156          -14.72561         -18.414635         23.62805
    0.002311         0.019771         0.042843          -17.347561         -16.67683         19.45122
    -0.003425         -0.011918         0.042087          -15.70122         -13.871951         16.12805
    -0.017974         0.070739         0.047146          -6.95122         -8.20122         12.378049
    -0.040551         0.113623         0.037912          0.396341         -2.317073         7.560976
    -0.029121         0.065508         0.013924          -1.067073         1.280488         1.280488
    -0.046734         0.079554         -0.033002          -4.29878         3.353659         -1.554878
    -0.064926         0.000558         -0.050815          -3.567073         3.536585         -6.25
    -0.063074         -0.016155         -0.047293          -1.097561         3.292683         -10.792684
    -0.08249         0.059537         -0.00678          -0.762195         3.384146         -13.536586
    -0.107008         0.022043         0.014303          0.487805         6.219512         -19.756098
    -0.083458         -0.01049         0.003825          2.164634         9.664635         -24.908537
    -0.064813         -0.032416         -0.026432          3.414634         11.95122         -26.829269
    -0.069429         -0.023394         -0.055911          4.664634         13.993903         -27.164635
    -0.069801         -0.029457         -0.082424          8.353659         15.304878         -28.079269
    -0.06795         -0.019073         -0.067307          13.20122         16.097561         -29.329269
    -0.052993         -0.019946         -0.040955          15.243903         16.890244         -30.365854
    -0.028332         -0.023574         -0.016943          15.182927         17.439024         -30.70122
    -0.006064         -0.064172         -0.046758          9.634147         16.829269         -29.45122
    0.018001         -0.039228         -0.055961          6.219512         15.243903         -26.859756
    0.054244         -0.039586         -0.010589          10.213415         13.567074         -26.737806
    0.093981         -0.066043         0.046412          14.329268         12.347561         -25.304878
    0.124404         -0.085843         0.054512          10.365854         8.780488         -20.213415
    0.114171         -0.117112         0.036774          2.042683         5.091464         -12.743903
    0.081376         -0.047205         0.015552          -6.097561         1.493902         -3.719512
    0.06432         -0.014912         0.002676          -13.902439         -1.737805         0.945122
    0.032901         0.038265         0.011516          -6.493903         -2.22561         2.896342
    0.000149         0.042526         0.044955          6.006098         -2.012195         2.347561
    -0.016092         0.069373         0.037917          5.335366         -1.402439         3.384146
    -0.028889         0.059209         0.005529          1.25         -0.518293         1.493902
    -0.028385         0.028031         -0.018038          -0.884146         -0.27439         -0.487805
    -0.01802         0.011292         -0.025368          -1.859756         -0.762195         -0.670732
    -0.017541         -0.000146         -0.018927          -0.091463         -0.853659         -0.548781
    -0.011494         0.002227         0.017085          1.158537         -0.792683         -0.97561
    -0.001773         0.001782         0.018746          -1.402439         -0.060976         -0.731707
    -0.002981         -0.001504         0.010114          -2.042683         0.823171         -0.518293
    -0.010588         0.014031         0.000083          -0.609756         1.432927         0.396341
    -0.012963         0.021381         -0.012043          -0.091463         1.615854         0.518293
    -0.006464         0.021206         0.000327          0.548781         1.402439         0.060976
    0.007915         0.01716         0.015886          0.457317         1.128049         -0.609756
    0.011019         0.010799         0.020717          -0.304878         1.585366         -1.006098
    0.008034         -0.008158         0.003097          -0.884146         1.981707         -1.25
    0.007013         -0.010628         -0.01178          -0.70122         1.493902         -0.762195
    -0.000053         -0.004791         -0.008057          -0.060976         0.914634         -0.182927
    0.002887         0.002026         0.004687          0.121951         0.152439         -0.030488
    0.003872         0.005332         0.008437          0.70122         0.152439         -0.27439
    -0.001785         0.01618         -0.003016          0.243902         0.304878         -0.030488
    -0.006311         0.008842         -0.011983          -0.426829         0.091463         -0.365854
    -0.007392         -0.003278         -0.003922          -0.335366         -0.213415         -0.97561
    -0.001031         -0.018833         0.000378          -0.70122         -0.396341         -1.006098
    0.000738         -0.006863         0.004209          -0.243902         -0.182927         -0.396341
    0.000395         -0.00217         0.007078          0.70122         0.27439         -0.365854
    0.002464         0.007639         0.007811          0.579268         0.640244         -0.213415
    0.002362         0.008259         -0.00215          0.121951         0.640244         -0.365854
    0.006968         0.006412         -0.000157          0.243902         0.365854         -0.548781
    0.006355         0.008255         -0.005399          0.152439         -0.213415         -0.731707
    0.000006         -0.000818         -0.003343          0.091463         -0.762195         -0.670732
    -0.002729         -0.003193         -0.000721          0.304878         -0.945122         -0.762195
    -0.006285         -0.003141         0.002157          0.030488         -1.097561         -0.731707
    -0.003661         -0.005638         0.000554          0.365854         -0.97561         -0.762195
    -0.001562         -0.00119         0.002982          0.670732         -0.396341         -0.365854
    -0.005155         0.001001         -0.001325          0.304878         0.121951         0.030488
    -0.008031         0.003145         -0.001255          0.152439         0.457317         -0.060976
    -0.005839         0.004664         0.000753          0.030488         0.762195         -0.27439
    0.001384         0.001388         0.003728          -0.548781         1.128049         -0.457317
    0.006966         0.003649         0.007084          -0.396341         1.310976         -0.396341
    0.00694         0.004091         0.000198          -0.152439         1.463415         -0.182927
    0.005748         -0.000047         -0.006482          -0.030488         1.219512         -0.182927
    0.007137         0.002111         -0.0046          -0.27439         0.762195         -0.030488
    0.007077         0.002079         -0.004656          -0.304878         0.060976         -0.27439
    0.003904         0.004007         0.000767          -0.243902         -0.426829         -0.518293
    0.000975         0.001643         0.004715          -0.365854         -0.70122         -0.579268
    -0.000783         -0.008061         0.001233          -0.396341         -0.762195         -0.823171
    -0.001993         -0.004105         0.002158          -0.518293         -0.884146         -0.609756
    -0.000618         -0.005042         0.002508          -0.457317         -0.609756         -0.396341
    -0.001666         -0.004815         -0.00483          -0.091463         -0.426829         -0.335366
    -0.004068         0.00318         -0.001715          0.335366         -0.426829         -0.091463
    -0.003645         0.003325         -0.000786          0         -0.335366         -0.487805
    0.001381         -0.001637         0.003668          -0.70122         -0.304878         -0.945122
    0.001496         0.004355         0.005473          -1.310976         -0.182927         -0.853659
    0.000415         -0.002962         0.003402          -1.371951         -0.152439         -0.945122
    -0.003183         -0.002369         -0.002356          -0.243902         0.060976         -0.609756
    -0.004695         0.000839         -0.000713          0.091463         0.243902         -0.670732
    -0.001412         -0.000501         0.004117          -0.213415         0.335366         -0.731707
    0.004925         -0.003526         0.000559          -0.518293         0.579268         -0.853659
    0.002573         -0.001453         -0.001115          -0.426829         0.762195         -0.426829
    0.001472         0.004697         -0.007728          -0.213415         0.792683         -0.426829
    0.000787         0.005515         -0.00755          -0.548781         0.548781         -0.762195
    0.004536         0.004803         -0.006626          -1.036585         -0.152439         -0.97561
    0.005972         0.000717         -0.002761          -1.219512         -0.579268         -0.884146
    0.003801         -0.003332         0.011463          -1.006098         -0.609756         -0.884146
    -0.006724         -0.007744         0.007412          -1.036585         0         -0.823171
    -0.007333         -0.008734         0.002024          -1.097561         0.640244         -0.762195
    -0.004499         -0.001714         -0.008928          -0.762195         1.189024         -0.487805
    -0.003209         0.004879         -0.00265          -0.030488         1.25         -0.457317
    0.004464         0.007028         0.000419          -0.243902         0.945122         -0.365854
    0.003767         0.005037         0.004241          -0.762195         0.670732         -0.518293
    0.005943         0.001685         0.005542          -1.189024         0.396341         -0.518293
    0.005536         0.001153         0.009121          -1.097561         0.243902         -0.518293
    -0.00104         -0.001031         0.005343          -0.426829         0.182927         -0.426829
    -0.003762         -0.000825         -0.000999          -0.27439         0.152439         -0.243902
    -0.007502         -0.002027         -0.0049          -0.335366         0.121951         -0.396341
    -0.00522         -0.00377         -0.001967          -0.304878         0         -0.213415
    -0.002028         -0.000282         0.00077          -0.121951         0.213415         -0.121951
    0.000722         -0.005108         -0.000751          -0.091463         0.426829         -0.304878
    0.003507         -0.00643         -0.00314          -0.182927         0.731707         -0.396341
    0.004563         0.000325         -0.007785          -0.243902         0.579268         -0.030488
    0.003651         0.004166         -0.002127          -0.579268         0.548781         0.213415
    0.002139         0.005481         0.002205          -0.640244         0.426829         0.030488
    -0.000632         0.006924         -0.004877          -0.884146         0.518293         -0.213415
    0.000471         0.001828         -0.00273          -1.036585         0.213415         -0.609756
    -0.001186         -0.001272         0.002504          -0.670732         -0.060976         -0.670732
    -0.000363         -0.002189         0.003566          -0.518293         -0.030488         -0.640244
    -0.001657         -0.005853         -0.000468          -0.365854         -0.213415         -0.457317
    -0.003474         -0.003706         0.001579          0.030488         -0.243902         -0.457317
    -0.002194         -0.002574         0.000677          -0.182927         -0.243902         -0.091463
    0.00098         0.001261         0.004839          0.060976         -0.213415         0.091463
    0.002151         0.006673         0.007777          -0.030488         -0.030488         0.030488
    -0.003943         0.005338         -0.003349          -0.640244         0.213415         -0.152439
    -0.007647         0.006614         0.002594          -0.243902         0.457317         -0.792683
    -0.003774         -0.010724         0.011451          -0.792683         0.945122         -1.432927
    -0.009074         -0.028501         0.027129          -1.036585         2.164634         -1.402439
    -0.014486         -0.056199         0.033813          -1.097561         4.664634         -0.609756
    -0.015495         -0.085585         0.01748          -2.926829         7.652439         1.341463
    -0.030364         -0.079014         -0.034454          -4.329268         10.823171         4.939024
    -0.057495         -0.062821         -0.075414          -2.317073         12.713415         7.896342
    -0.086621         -0.070569         -0.124003          -2.591464         10.579268         12.713415
    -0.063828         -0.086924         -0.075179          -11.128049         7.378049         20.396341
    -0.042273         -0.093758         -0.043737          -20.70122         6.52439         29.939026
    -0.05667         -0.082038         -0.029326          -24.237806         7.22561         39.085365
    -0.051195         -0.050201         -0.030101          -23.353659         7.77439         46.493904
    -0.019667         -0.018481         -0.017831          -25.70122         5.731708         53.841465
    -0.006945         0.029551         -0.031062          -30.884148         1.219512         62.164635
    -0.011415         0.040243         -0.037349          -34.57317         -4.29878         68.292686
    -0.008351         0.045866         -0.034567          -35.152439         -9.786586         72.378052
    -0.016837         0.087279         -0.023943          -32.621952         -14.359756         75.121956
    0.000788         0.063768         -0.006654          -31.890245         -19.085367         73.993904
    0.038131         0.057655         0.022802          -32.042683         -23.62805         74.115852
    0.033629         0.098077         0.024491          -29.969513         -27.042683         75.457321
    0.020263         0.12397         0.017249          -27.469513         -29.969513         72.652443
    0.028906         0.09898         0.022979          -28.079269         -31.829269         66.006096
    0.056132         0.087583         0.057836          -29.146341         -33.628048         59.420734
    0.074789         0.074754         0.065996          -28.04878         -33.902439         53.140244
    0.073308         0.037342         0.050843          -23.262196         -33.384148         46.097561
    0.051615         0.014835         0.036378          -16.920732         -32.530487         40.487804
    0.0368         0.024758         0.036915          -12.591464         -32.042683         35
    0.033737         0.023908         0.028165          -12.77439         -31.432928         28.475611
    0.026599         0.033189         0.02175          -12.317074         -30.670732         21.585367
    0.014834         0.005653         0.020135          -9.268293         -29.45122         13.780488
    0.017336         -0.036493         0.005366          -5.914634         -28.231709         7.713415
    0.017775         -0.006148         0.015621          -4.085366         -27.256098         5.060976
    0.018126         -0.009215         0.018551          -2.865854         -25.640245         0.27439
    0.016845         -0.053466         0.004099          0.762195         -24.024391         -5.121951
    0.01953         -0.057421         0.016365          6.097561         -22.469513         -7.317073
    0.01289         -0.043007         -0.002142          9.207317         -20.975611         -7.804878
    0.014023         -0.062726         -0.031206          9.573171         -21.341463         -9.146341
    -0.001477         -0.040806         -0.001332          13.018293         -19.939024         -9.603659
    0.002725         0.003293         0.063387          14.664635         -16.493902         -9.939025
    -0.031414         -0.021194         0.052663          6.463415         -12.195122         -7.713415
